Language	Type	FileName	Position	Memory	Surprisal
Slovenian	REAL_REAL	4191351	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	4191351	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	4191351	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	4191351	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	4191351	32	0.57641774416	0.57641774416
Slovenian	REAL_REAL	4191351	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	4191351	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	4191351	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	4191351	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	4191351	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	4191351	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	1324507	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	1324507	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	1324507	2	0.0524016171694	0.0524016171694
Slovenian	REAL_REAL	1324507	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	1324507	4	0.0873360261321	0.0873360261321
Slovenian	REAL_REAL	1324507	5	0.104803234339	0.104803234339
Slovenian	REAL_REAL	1324507	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	1324507	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	1324507	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	1324507	9	0.174672052264	0.174672052264
Slovenian	REAL_REAL	1324507	10	0.19213925302	0.19213925302
Slovenian	REAL_REAL	1324507	11	0.209606468678	0.209606468678
Slovenian	REAL_REAL	1324507	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	1324507	13	0.24454087019	0.24454087019
Slovenian	REAL_REAL	1324507	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	1324507	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	1324507	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	1324507	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	1324507	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	1324507	19	0.349344104528	0.349344104528
Slovenian	REAL_REAL	1324507	20	0.366811305285	0.366811305285
Slovenian	REAL_REAL	1324507	21	0.384278506041	0.384278506041
Slovenian	REAL_REAL	1324507	22	0.401745706797	0.401745706797
Slovenian	REAL_REAL	1324507	23	0.419212937355	0.419212937355
Slovenian	REAL_REAL	1324507	24	0.436680138111	0.436680167913
Slovenian	REAL_REAL	1324507	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	1324507	26	0.471614539623	0.471614569426
Slovenian	REAL_REAL	1324507	27	0.489081740379	0.489081740379
Slovenian	REAL_REAL	1324507	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	1324507	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	1324507	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	1324507	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	1324507	32	0.57641774416	0.57641774416
Slovenian	REAL_REAL	1324507	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	1324507	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	1324507	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	1324507	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	1324507	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	1324507	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	7147080	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	7147080	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	7147080	2	0.0524016171694	0.0524016134441
Slovenian	REAL_REAL	7147080	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	7147080	4	0.0873360261321	0.0873360186815
Slovenian	REAL_REAL	7147080	5	0.104803234339	0.104803226888
Slovenian	REAL_REAL	7147080	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	7147080	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	7147080	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	7147080	9	0.174672052264	0.174672037363
Slovenian	REAL_REAL	7147080	10	0.19213925302	0.19213925302
Slovenian	REAL_REAL	7147080	11	0.209606468678	0.209606453776
Slovenian	REAL_REAL	7147080	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	7147080	13	0.24454087019	0.24454087019
Slovenian	REAL_REAL	7147080	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	7147080	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	7147080	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	7147080	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	7147080	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	7147080	19	0.349344104528	0.349344074726
Slovenian	REAL_REAL	7147080	20	0.366811305285	0.366811305285
Slovenian	REAL_REAL	7147080	21	0.384278506041	0.384278506041
Slovenian	REAL_REAL	7147080	22	0.401745706797	0.401745706797
Slovenian	REAL_REAL	7147080	23	0.419212937355	0.419212907553
Slovenian	REAL_REAL	7147080	24	0.436680138111	0.436680138111
Slovenian	REAL_REAL	7147080	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	7147080	26	0.471614539623	0.471614539623
Slovenian	REAL_REAL	7147080	27	0.489081740379	0.489081740379
Slovenian	REAL_REAL	7147080	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	7147080	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	7147080	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	7147080	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	7147080	32	0.57641774416	0.57641774416
Slovenian	REAL_REAL	7147080	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	7147080	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	7147080	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	7147080	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	7147080	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	7147080	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	3881868	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	3881868	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	3881868	2	0.0524016171694	0.0524016171694
Slovenian	REAL_REAL	3881868	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	3881868	4	0.0873360261321	0.0873360261321
Slovenian	REAL_REAL	3881868	5	0.104803234339	0.104803234339
Slovenian	REAL_REAL	3881868	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	3881868	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	3881868	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	3881868	9	0.174672052264	0.174672052264
Slovenian	REAL_REAL	3881868	10	0.19213925302	0.19213925302
Slovenian	REAL_REAL	3881868	11	0.209606468678	0.209606468678
Slovenian	REAL_REAL	3881868	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	3881868	13	0.24454087019	0.24454087019
Slovenian	REAL_REAL	3881868	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	3881868	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	3881868	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	3881868	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	3881868	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	3881868	19	0.349344104528	0.349344104528
Slovenian	REAL_REAL	3881868	20	0.366811305285	0.366811305285
Slovenian	REAL_REAL	3881868	21	0.384278506041	0.384278506041
Slovenian	REAL_REAL	3881868	22	0.401745706797	0.401745676994
Slovenian	REAL_REAL	3881868	23	0.419212937355	0.419212937355
Slovenian	REAL_REAL	3881868	24	0.436680138111	0.436680108309
Slovenian	REAL_REAL	3881868	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	3881868	26	0.471614539623	0.471614569426
Slovenian	REAL_REAL	3881868	27	0.489081740379	0.489081740379
Slovenian	REAL_REAL	3881868	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	3881868	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	3881868	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	3881868	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	3881868	32	0.57641774416	0.57641774416
Slovenian	REAL_REAL	3881868	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	3881868	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	3881868	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	3881868	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	3881868	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	3881868	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	6977399	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	6977399	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	6977399	2	0.0524016171694	0.0524016171694
Slovenian	REAL_REAL	6977399	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	6977399	4	0.0873360261321	0.0873360261321
Slovenian	REAL_REAL	6977399	5	0.104803234339	0.104803234339
Slovenian	REAL_REAL	6977399	6	0.122270435095	0.122270442545
Slovenian	REAL_REAL	6977399	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	6977399	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	6977399	9	0.174672052264	0.174672052264
Slovenian	REAL_REAL	6977399	10	0.19213925302	0.19213925302
Slovenian	REAL_REAL	6977399	11	0.209606468678	0.209606468678
Slovenian	REAL_REAL	6977399	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	6977399	13	0.24454087019	0.244540885091
Slovenian	REAL_REAL	6977399	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	6977399	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	6977399	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	6977399	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	6977399	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	6977399	19	0.349344104528	0.349344104528
Slovenian	REAL_REAL	6977399	20	0.366811305285	0.366811275482
Slovenian	REAL_REAL	6977399	21	0.384278506041	0.384278506041
Slovenian	REAL_REAL	6977399	22	0.401745706797	0.401745706797
Slovenian	REAL_REAL	6977399	23	0.419212937355	0.419212937355
Slovenian	REAL_REAL	6977399	24	0.436680138111	0.436680138111
Slovenian	REAL_REAL	6977399	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	6977399	26	0.471614539623	0.471614539623
Slovenian	REAL_REAL	6977399	27	0.489081740379	0.489081770182
Slovenian	REAL_REAL	6977399	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	6977399	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	6977399	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	6977399	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	6977399	32	0.57641774416	0.57641774416
Slovenian	REAL_REAL	6977399	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	6977399	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	6977399	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	6977399	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	6977399	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	6977399	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	4862146	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	4862146	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	4862146	2	0.0524016171694	0.0524016171694
Slovenian	REAL_REAL	4862146	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	4862146	4	0.0873360261321	0.0873360335827
Slovenian	REAL_REAL	4862146	5	0.104803234339	0.104803234339
Slovenian	REAL_REAL	4862146	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	4862146	7	0.139737635851	0.139737635851
