Language	Type	Memory	MI
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4114306
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3687961
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4558605
Hindi	RANDOM_BY_TYPE	2.43816232681	0.7274492
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4108195
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3222574
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3603066
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4913975
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3477058
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3912895
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3072504
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4635868
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4586096
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3384624
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3824422
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3052257
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3741224
Hindi	RANDOM_BY_TYPE	2.43816232681	1.5349858
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3972769
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3819884
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4906898
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4244055
Hindi	RANDOM_BY_TYPE	2.43816232681	1.03672
Hindi	RANDOM_BY_TYPE	2.43816232681	0.9362598
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4526051
Hindi	RANDOM_BY_TYPE	2.43816232681	1.5189354
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4477527
Hindi	RANDOM_BY_TYPE	2.43816232681	0.008452448
Hindi	RANDOM_BY_TYPE	2.43816232681	0.99387455
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3558986
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4422649
Hindi	RANDOM_BY_TYPE	2.43816232681	0.04231827
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4155425
Hindi	RANDOM_BY_TYPE	2.43816232681	0.51675826
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4033061
Hindi	RANDOM_BY_TYPE	2.43816232681	1.423949
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3718321
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4348167
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4685376
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4794973
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4896958
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4301499
Hindi	RANDOM_BY_TYPE	2.43816232681	0.80637157
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4454905
Hindi	RANDOM_BY_TYPE	2.43816232681	0.49770677
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4312073
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4614654
Hindi	RANDOM_BY_TYPE	2.43816232681	1.2862266
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3108277
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4005318
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4235213
Hindi	GROUND	2.43816232681	1.7766099
Hindi	GROUND	2.43816232681	1.7801752
Hindi	GROUND	2.43816232681	1.7784929
