Script	Run	Model	Distance	Surprisal	MI	Memory
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	7	0.9309436774099425	0.00814185250586108	5.083493427616942
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	8	0.9228018249040815	0.0036741777025066646	5.14862824766383
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	9	0.9191276472015748	0.0012243411308425767	5.18169584698639
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	10	0.9179033060707322	0.0005382262383665237	5.193939258294815
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	0	5.613090635743616	2.8430416094611504	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	1	2.7700490262824653	0.16453362221965495	2.8430416094611504
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	2	2.6055154040628103	0.03880076963498258	3.1721088539004603
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	3	2.5667146344278278	0.0025540437734035137	3.288511162805408
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	4	2.5641605906544243	0.00019586360041223827	3.298727337899022
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	5	2.563964727054012	2.9895073775598746e-05	3.2997066559010833
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	6	2.5639348319802364	0.0	3.299886026343737
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	7	2.5639348319802364	0.0	3.299886026343737
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	8	2.5639348319802364	0.0	3.299886026343737
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	9	2.5639348319802364	0.0	3.299886026343737
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2614988	RANDOM	10	2.5639348319802364	0.0	3.299886026343737
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	0	5.613090635743616	2.8354626113347408	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	1	2.777628024408875	0.1709470298223854	2.8354626113347408
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	2	2.6066809945864895	0.03983984578640376	3.1773566709795116
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	3	2.5668411488000857	0.002875297878168759	3.296876208338723
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	1287629	RANDOM	4	2.563965850921917	5.979014755119749e-05	3.308377399851398
