Script	Run	Model	Accuracy_Pairs	Accuracy_Full	Accuracy_Pairs_Types	Accuracy_Full_Types
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5867366	RANDOM	0.013457112766704372	0.01160247843518406	0.021326654523375836	0.016699653636813458
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5873228	RANDOM	0.5414830128330148	0.3007532499088811	0.6092896174863388	0.3897822859970312
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6145527	RANDOM	0.4898779108320006	0.26260478678167903	0.538023679417122	0.334735279564572
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	62783	RANDOM	0.0019503061980730974	0.0008504434455108735	0.0036429872495446266	0.0017318159327065809
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6307160	RANDOM	0.18387486835433162	0.031101931721540518	0.1993017607771706	0.044532409698169226
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	635793	RANDOM	0.9959043569840464	0.9938039120398493	0.9926381299332119	0.9883720930232558
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6406848	RANDOM	0.4580099075554862	0.4382213582796744	0.3901032179720704	0.3261999010390896
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6410351	RANDOM	0.795412879822132	0.6946908030615964	0.7714784456587735	0.6509153884215735
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	650628	RANDOM	0.4942075905917229	0.46598226217956507	0.43996660595021253	0.3642998515586343
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6506766	RANDOM	0.9437921753715334	0.9332401895273964	0.9203855494839102	0.9011627906976745
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6551680	RANDOM	0.1979560791044194	0.030433726157210544	0.21835154826958106	0.04280059376546264
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6583226	RANDOM	0.7968951125326676	0.6976673551208845	0.7729204614450516	0.6537605145967343
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6638402	RANDOM	0.9335725708936303	0.9179322075082007	0.9068002428658166	0.8801335972290945
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6874665	RANDOM	0.024651870343643953	0.02399465435548536	0.037037037037037035	0.03364670954972786
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6893367	RANDOM	0.5423411475601669	0.29838415745352936	0.6114905889496054	0.3870608609599208
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	6932290	RANDOM	0.22526036587744275	0.051694812294982385	0.2553885853066181	0.072365165759525
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7163051	RANDOM	0.9788196746889262	0.9696877657635767	0.9685792349726776	0.9539831766452251
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7220241	RANDOM	0.8045013067051527	0.7101202770015794	0.7833940497874924	0.6718208807521029
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7281435	RANDOM	0.18453797246167647	0.03128416960272142	0.20051608986035216	0.04490351311232063
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7347305	RANDOM	0.9746070133010882	0.9623982505163406	0.9611414693381907	0.9403760514596734
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7372416	RANDOM	0.8206888481491594	0.7276758595553395	0.8066180935033394	0.6968085106382979
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7558016	RANDOM	0.48820064750165776	0.25598347709877295	0.5359744990892532	0.32533399307273625
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7606686	RANDOM	0.9730077622186684	0.9664074839023205	0.9603825136612022	0.9499010390895596
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	7723708	RANDOM	0.5057143971603542	0.4916170574656785	0.45309653916211295	0.398688767936665
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	797506	RANDOM	0.4935054803604166	0.26339448426679624	0.5437158469945356	0.3363433943592281
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8354633	RANDOM	0.03619768303623669	0.023873162434698093	0.0525197328476017	0.0338941118258288
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8550314	RANDOM	0.8187385419510863	0.7264001943870733	0.8031268973891925	0.694458189015339
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8679534	RANDOM	0.02223349065803331	0.002004616692989916	0.03233151183970856	0.002474022761009401
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8828360	RANDOM	0.19428950345204196	0.02527031952375167	0.21296296296296297	0.0351311232063335
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8861163	RANDOM	0.7747006279985957	0.6833920544283805	0.7437765634486946	0.6359475507174666
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8894176	RANDOM	0.5101220891679994	0.2807070829789819	0.569672131147541	0.36392874814448295
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	8925923	RANDOM	0.016109529196083786	0.013060381484631272	0.025045537340619307	0.01880257298367145
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	9208107	RANDOM	0.9787416624410032	0.9678653869517677	0.9691105039465695	0.9516328550222662
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	9331094	RANDOM	0.9888442485470219	0.9843882881788361	0.98224043715847	0.9745175655616032
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	9598159	RANDOM	0.050278893786324455	0.03243834285020046	0.06989981785063752	0.044161306284017814
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	9614315	RANDOM	0.016499590435698406	0.013364111286599442	0.025728597449908925	0.01929737753587333
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	964675	RANDOM	0.17685376604126848	0.018223788118090146	0.19019429265330906	0.026595744680851064
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	9731498	RANDOM	0.5401958107422865	0.29540760539424127	0.6086065573770492	0.3831024245423058
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	979081	RANDOM	0.466942309942661	0.44672579273478313	0.402170613236187	0.3364670954972786
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	9833894	RANDOM	0.9545968717088583	0.9486696634673795	0.9381451123254402	0.9273874319643741
forWords_Sesotho_EvaluateWeights_Suffixes_ByType.py	1041865	RANDOM	0.2486917128797938	0.17453882019055342	0.18983996476288356	0.0806086777709233
forWords_Sesotho_EvaluateWeights_Suffixes_ByType.py	1108066	8838790	0.6817152229946106	0.6647070748023515	0.7255909558067831	0.7160189183631503
forWords_Sesotho_EvaluateWeights_Suffixes_ByType.py	1195060	RANDOM	0.4477856752323674	0.3566795053719846	0.5316399941271472	0.4437589965042155
