Language	Estimator	Model	Distance	Surprisal	Script
Czech	Plugin	AND	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	AND	1	3.0915068892951463	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	AND	2	2.579541119046652	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	AND	3	2.5740521599755732	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	AND	4	2.5740428284966503	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	AND	5	2.5740428284966503	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	AND	6	2.5740428284966503	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	1	3.0829978255934063	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	2	2.579390842004924	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	3	2.5740442783977704	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	4	2.574034946918847	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	5	2.574034946918847	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NAD	6	2.574034946918847	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	1	3.0211535445349815	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	2	2.5793952911491345	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	3	2.5740695221010945	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	4	2.5740601906221716	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	5	2.5740601906221716	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	GROUND	6	2.5740601906221716	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NDA	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NDA	1	3.0212488535401927	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NDA	2	2.5794909198236375	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	NDA	3	2.5740439725357644	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
